country,InstagramUsers_2024,InstagramUsers_PctFemale_2024,InstagramUsers_PctMale_2024,InstagramUsers2023,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Population,Percentage
Costa Rica,2555800.0,54.3,45.7,2050000,1.561,1.373,0.661,0.797,5260667.0,48.58319296773584
Kuwait,2960400.0,41.0,59.0,2050000,1.845,1.364,0.661,0.827,4816343.0,61.46572202187427
Panama,2678900.0,52.7,47.3,2200000,1.702,1.392,0.633,0.72,4524577.0,59.20774472398194
Croatia,1536800.0,56.1,43.9,1350000,1.71,1.445,0.637,0.469,4074968.0,37.71317958815873
Georgia,1779700.0,58.4,41.6,1300000,1.467,0.99,0.524,0.68,3734777.0,47.65210881399344
Mongolia,1030700.0,60.4,39.6,774600,1.353,1.511,0.4,0.501,3459281.0,29.795208888783538
Uruguay,2321800.0,57.4,42.6,1850000,1.596,1.431,0.592,0.775,3555682.0,65.29830282910564
Bosnia and Herzegovina,1170100.0,54.1,45.9,1200000,1.465,1.318,0.587,0.621,3208601.0,36.467606910301406
Moldova,1048000.0,62.5,37.5,876900,1.385,1.277,0.542,0.695,2595596.0,40.37608318089564
Namibia,426300.0,53.9,46.1,317400,1.266,1.212,0.307,0.47,2648192.0,16.097775387887285
Armenia,1366600.0,56.7,43.3,1010000,1.444,1.154,0.603,0.65,2816642.0,48.518768093353714
Lithuania,1018500.0,60.6,39.4,814200,1.766,1.454,0.598,0.533,2659372.0,38.29851558939479
Jamaica,1163000.0,55.6,44.4,914900,1.28,1.324,0.567,0.647,2758444.0,42.16145044090074
Albania,1249100.0,48.1,51.9,1030000,1.438,0.924,0.638,0.69,2812725.0,44.4088917331058
Gambia,175700.0,33.2,66.8,118200,0.75,0.684,0.33,0.459,2774922.0,6.331709503906777
Gabon,136300.0,46.3,53.7,104600,1.403,1.038,0.344,0.516,2431535.0,5.6055125671643635
Botswana,210000.0,54.1,45.9,165000,1.445,0.969,0.241,0.567,2681773.0,7.830640400958619
Lesotho,38201.0,57.3,42.7,33100,0.771,0.851,0.0,0.523,2330992.0,1.6388301632952837
Slovenia,736200.0,53.2,46.8,621000,1.786,1.502,0.695,0.789,2102436.0,35.01652368966285
Latvia,729400.0,61.8,38.2,612800,1.7,1.508,0.564,0.666,1840441.0,39.63180563788787
North Macedonia,852500.0,51.5,48.5,711500,1.475,1.277,0.569,0.58,1835496.0,46.44521153955116
Bahrain,1131600.0,41.1,58.9,879800,1.378807142857143,1.1343285714285714,0.5208857142857143,0.6206214285714285,1955000.0,57.88235294117647
Estonia,527600.0,60.5,39.5,476500,1.752,1.527,0.657,0.805,1319331.0,39.98996461085201
Cyprus,913200.0,51.6,48.4,722900,1.794,1.217,0.744,0.529,1263708.0,72.26352923301901
Mauritius,403600.0,51.4,48.6,326700,1.57,1.358,0.49,0.641,1304467.0,30.939839796637248
Eswatini,64200.0,57.3,42.7,53300,1.255,0.925,0.176,0.284,1183561.0,5.4243085062789325
Comoros,27001.0,31.9,68.1,21000,0.896,0.328,0.37,0.172,872748.0,3.0937911057945704
Luxembourg,304800.0,53.2,46.8,241400,2.141,1.355,0.708,0.801,654768.0,46.55083938127703
Montenegro,421100.0,53.7,46.3,350900,1.571,1.318,0.587,0.632,619211.0,68.00589782804246
Malta,276200.0,49.0,51.0,219700,1.827,1.444,0.707,0.727,514974.0,53.63377568576277
Iceland,223300.0,55.8,44.2,199100,1.881,1.617,0.718,0.819,383346.0,58.25024912220292
